epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,58.9771,1.01645,2.53826,2.34295,1.01318,0,0.79672,0.78847,0.87318,0.68325,0.71497,0.71557,0.75301,0.36426,0.7758,2.35688,1.14851,0.92408,0,0.00016572,0.00016572,0.0670218
2,118.467,0.83527,2.05941,1.00731,0.96066,0,0.94709,0.94025,0.98215,0.78328,0.86983,0.85024,0.84972,0.4374,0.72153,2.00781,0.71353,0.90904,0,0.000328273,0.000328273,0.033851
3,165.847,0.78798,1.87996,0.80079,0.94178,0,0.94938,0.95597,0.98436,0.79052,0.90367,0.89875,0.90374,0.4708,0.68799,1.79147,0.65739,0.89633,0,0.000486701,0.000486701,0.000676095
4,218.271,0.77072,1.76647,0.73254,0.93269,0,0.95943,0.95834,0.98847,0.81007,0.92115,0.91502,0.9326,0.50101,0.66514,1.76332,0.59022,0.88247,0,0.000481438,0.000481438,0.000481438
5,293.354,0.73288,1.71492,0.65736,0.92339,0,0.96795,0.97307,0.98631,0.82807,0.92409,0.93093,0.9243,0.49026,0.61449,1.70313,0.55083,0.86961,0,0.00047525,0.00047525,0.00047525
6,381.423,0.70263,1.67945,0.62204,0.91195,0,0.96239,0.97245,0.99055,0.81579,0.91227,0.91999,0.92424,0.50312,0.62548,1.69862,0.55186,0.87933,0,0.000469063,0.000469063,0.000469063
7,458.425,0.68519,1.64748,0.61055,0.90654,0,0.9542,0.97369,0.99137,0.81674,0.91551,0.91758,0.9279,0.50088,0.61301,1.67489,0.5213,0.87574,0,0.000462875,0.000462875,0.000462875
8,542.844,0.6747,1.63069,0.57281,0.90163,0,0.9447,0.99411,0.99186,0.83069,0.89996,0.93896,0.92389,0.5068,0.59809,1.63874,0.50291,0.8639,0,0.000456687,0.000456687,0.000456687
9,630.555,0.6606,1.58548,0.54981,0.90074,0,0.96049,0.99749,0.995,0.83681,0.94289,0.92311,0.9198,0.49721,0.5965,1.71177,0.48147,0.86992,0,0.0004505,0.0004505,0.0004505
10,724.068,0.64324,1.56031,0.53817,0.89175,0,0.94718,0.97245,0.98451,0.83673,0.90223,0.92754,0.92102,0.49944,0.57316,1.62566,0.47583,0.86371,0,0.000444312,0.000444312,0.000444312
11,840.857,0.64639,1.56266,0.54678,0.89167,0,0.98198,0.97768,0.99283,0.84309,0.95199,0.93675,0.94526,0.51957,0.57951,1.59899,0.4764,0.8664,0,0.000438125,0.000438125,0.000438125
12,955.154,0.62487,1.50012,0.51131,0.88784,0,0.96988,0.99171,0.99155,0.84263,0.92182,0.94234,0.92928,0.50499,0.57839,1.66373,0.44509,0.86553,0,0.000431938,0.000431938,0.000431938
