epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,36.3382,2.00787,4.84002,4.78023,2.18001,0,0,0,0,0,0,0,0,0,1.81621,4.4651,5.05123,2.49023,0,3e-05,3e-05,0.09703
2,78.4855,2.16112,4.95528,4.60718,2.35092,0,0,0,0,0,0,0,0,0,1.84749,4.45631,5.03929,2.50075,0,6.9538e-05,6.9538e-05,0.0930695
3,123.366,1.769,6.09845,4.25025,1.90274,0,0.01507,0.31548,0.02214,0.01164,0,0,0,0,1.64754,30.6226,4.32236,1.89462,0,0.000108548,0.000108548,0.0891085
4,158.01,1.42682,4.41383,3.65307,1.53155,0,0.53512,0.1369,0.05124,0.03284,0,0,0,0,1.90192,5.33518,8.35127,2.19688,0,0.00014703,0.00014703,0.085147
5,196.544,1.21015,3.54995,3.0227,1.31675,0,0.40009,0.15327,0.10454,0.05269,0,0,0,0,2.23499,7.75296,6.09135,2.47854,0,0.000184984,0.000184984,0.081185
6,239.23,1.24018,3.32988,2.78276,1.33802,0,0.32189,0.24844,0.14107,0.10358,0,0,0,0,1.89629,32.1463,4.77444,2.2477,0,0.00022241,0.00022241,0.0772224
7,283.911,1.03567,2.90889,2.4915,1.22363,0,0.32189,0.24844,0.14107,0.10358,0,0,0,0,1.89629,32.1463,4.77444,2.2477,0,0.000259308,0.000259308,0.0732593
8,312.402,1.15395,3.08413,2.51616,1.3342,0,0.18992,0.29587,0.15147,0.10099,0,0,0,0,1.81282,57.7539,9.48185,2.1458,0,0.000295678,0.000295678,0.0692957
9,356.129,1.04808,2.85513,2.23748,1.22658,0,0.40191,0.30357,0.22504,0.12412,0,0,0,0,1.7438,38.8689,6.88783,2.06857,0,0.00033152,0.00033152,0.0653315
10,402.392,1.05476,2.87597,2.45135,1.25736,0,0.40191,0.30357,0.22504,0.12412,0,0,0,0,1.7438,38.8689,6.88783,2.06857,0,0.000366834,0.000366834,0.0613668
